sku,configurable_variations
JS00T50F,"sku=T50F-9ZG,color=DIGIBREAK AQUA DASH|sku=JS00T50F-008,color=DIGIBREAK BLACK|sku=T50F-008,color=DIGIBREAK BLACK|sku=JS00T50F-7TS,color=DIGIBREAK BLACK BLUE STREAK|sku=T50F-0AA,color=DIGIBREAK BLACK LUCKY DAISY|sku=JS00T50F-09L,color=DIGIBREAK BLUE DIGI STRIPE FADE|sku=T50F-5CS,color=DIGIBREAK BLUE STREAK|sku=JS00T50F-05W,color=DIGIBREAK BURNT HENNA ABSTRCT ANGLES|sku=JS00T50F-0JB,color=DIGIBREAK CORAL SPARKLE PRETTY POSEY|sku=JS00T50F-0NR,color=DIGIBREAK CORAL SPARKLE WHITE DOTS|sku=JS00T50F-01B,color=DIGIBREAK CYBER PINK|sku=JS00T50F-0ED,color=DIGIBREAK CYBER PINK SUMMER CHEVRON|sku=T50F-9RX,color=DIGIBREAK FLUORESCENT PINK|sku=T50F-ZG8,color=DIGIBREAK GREEN MACHINE TOPO CAMO|sku=JS00T50F-9ZE,color=DIGIBREAK GREY RABBIT|sku=JS00T50F-04G,color=DIGIBREAK MALT TAN BOHO STRIPE|sku=T50F-0AP,color=DIGIBREAK MAMMONT BLUE WILD AT HEART|sku=JS00T50F-0KH,color=DIGIBREAK MIDNIGHT SKY FLORAL STRIPE|sku=JS00T50F-0KW,color=DIGIBREAK MULTI 3D WAVE|sku=JS00T50F-0WH,color=DIGIBREAK MULTI GREY FLORAL HAZE|sku=JS00T50F-0DQ,color=DIGIBREAK MULTI HOT TROPIC|sku=T50F-04J,color=DIGIBREAK MULTI PHOTO FLORAL|sku=JS00T50F-0WV,color=DIGIBREAK NAVY COLOR GEO|sku=JS00T50F-0J8,color=DIGIBREAK NAVY WATERCOLOR CHEVRON|sku=T50F-06F,color=DIGIBREAK RED TAPE GRUNGE STRIPE|sku=JS00T50F-0NK,color=DIGIBREAK SEAFOAM GREEN WHITE DOTS|sku=JS00T50F-01H,color=DIGIBREAK SPANISH TEAL|sku=T50F-2C8,color=DIGIBREAK VIVID PURPLE|sku=JS00T50F-0GT,color=DIGIBREAK WHITE JAZZY GEO"
JS00T69D,"sku=T19W-9ZI,color=DIGITAL STUDENT BERRYLYCIOUS PURPLE|sku=JS00T69D-8WV,color=DIGITAL STUDENT BLACK FORGE GREY|sku=T69D-0A8,color=DIGITAL STUDENT BLACK KISS ME QUICK|sku=JS00T69D-0V8,color=DIGITAL STUDENT BLACK TEXTURE TOOTH|sku=T69D-5CS,color=DIGITAL STUDENT BLUE STREAK|sku=JS00T69D-0JB,color=DIGITAL STUDENT CORAL SPARKLE PRETTY POSEY|sku=JS00T69D-0NR,color=DIGITAL STUDENT CORAL SPARKLE WHITE DOTS|sku=T19W-9RX,color=DIGITAL STUDENT FLOURESCENT PINK|sku=JS00T69D-6XD,color=DIGITAL STUDENT FORGE GREY|sku=T69D-6XD,color=DIGITAL STUDENT FORGE GREY|sku=JS00T69D-0J9,color=DIGITAL STUDENT HIGH RISH RED CHECKERS|sku=JS00T69D-0J8,color=DIGITAL STUDENT JANSPORT NAVY WATERCOLOR CHEVRON|sku=JS00T69D-04G,color=DIGITAL STUDENT MALT TAN BOHO STRIPE|sku=T69D-0AP,color=DIGITAL STUDENT MAMMONTH BLU WILD AT HEART|sku=T19W-ZE3,color=DIGITAL STUDENT MAMMOTH BLUE SUPER SPLASH|sku=JS00T69D-0KH,color=DIGITAL STUDENT MIDNIGHT SKY FLORAL STRIPE|sku=T69D-09V,color=DIGITAL STUDENT MULTI ASTRO KITTY|sku=T69D-0A1,color=DIGITAL STUDENT MULTI GREY FLORAL FLOURISH|sku=JS00T69D-0WH,color=DIGITAL STUDENT MULTI GREY FLORAL HAZE|sku=JS00T69D-0V6,color=DIGITAL STUDENT MULTI ICE BABY|sku=T69D-0B5,color=DIGITAL STUDENT MULTI JUNK FOOD|sku=JS00T69D-0FZ,color=DIGITAL STUDENT MULTI MARBLE PRISM|sku=JS00T69D-0E2,color=DIGITAL STUDENT MULTI NAVY MOUNTAIN MEADOW|sku=JS00T69D-0MV,color=DIGITAL STUDENT MULTI RED GALAXY|sku=JS00T69D-0WV,color=DIGITAL STUDENT NAVY COLOR GEO|sku=JS00T69D-0N0,color=DIGITAL STUDENT RED TAPE LAND AHOY|sku=T69D-ZK1,color=DIGITAL STUDENT SHADY GREY SPRINKLED FLORAL|sku=JS00T69D-0P5,color=DIGITAL STUDENT SPANISH TEAL MULTI STICKERS|sku=JS00T69D-05B,color=DIGITAL STUDENT VIOLET PURPLE"
T69F,"sku=T69F-ZS3,color=DIGITAL WRAP BLACK BEIGE PLUSH CHEETAH|sku=T69F-0AR,color=DIGITAL WRAP BLACK PLUSH LIPS|sku=T69F-0CZ,color=DIGITAL WRAP MULTI BURRITO"
JS00TN89,"sku=JS00TN89-008,color=DRIVER 8 BLACK|sku=TN89-008,color=DRIVER 8 BLACK|sku=JS00TN89-0JB,color=DRIVER 8 CORAL SPARKLE PRETTY POSEY|sku=JS00TN89-0JE,color=DRIVER 8 MULTI DIAMOND ARROWS|sku=JS00TN89-0WH,color=DRIVER 8 MULTI GREY FLORAL HAZE|sku=JS00TN89-0E2,color=DRIVER 8 MULTI NAVY MOUNTAIN MEADOW|sku=JS00TN89-0MV,color=DRIVER 8 MULTI RED GALAXY|sku=JS00TN89-003,color=DRIVER 8 NAVY|sku=TN89-003,color=DRIVER 8 NAVY|sku=JS00TN89-0VQ,color=DRIVER 8 NAVY SWEET BLOSSOM|sku=JS00TN89-0N0,color=DRIVER 8 RED TAPE LAND AHOY|sku=JS00TN89-0NK,color=DRIVER 8 SEAFOAM GREEN WHITE DOTS|sku=JS00TN89-9FL,color=DRIVER 8 VIKING RED|sku=TN89-9FL,color=DRIVER 8 VIKING RED|sku=TN89-01W,color=DRIVER 8 WHEELED BLACK FLORAL GEO|sku=TN89-0A8,color=DRIVER 8 WHEELED BLACK KISS ME QUICK|sku=TN89-0AP,color=DRIVER 8 WHEELED MAMMOTH BLUE WILD AT HEART"
TZU9,"sku=TZU9-008,color=EMMA TOTE BLACK|sku=TZU9-9FA,color=EMMA TOTE PINK TULIP|sku=TZU9-9HY,color=EMMA TOTE PURPLE SKY MULTI WATERCOLOR|sku=TZU9-9MM,color=EMMA TOTE PURPLE SKY/VANILLA ICE WHITE RENO PLAID|sku=TZV8-9MK,color=EMMA TOTE SE BLACK MULTI METALLIC REPTILE"
JS00T45G,"sku=JS00T45G-008,color=ENVOY BLACK|sku=T45G-5CS,color=ENVOY BLUE STREAK|sku=JS00T45G-6XD,color=ENVOY FORGE GREY|sku=T45G-6XD,color=ENVOY FORGE GREY|sku=JS00T45G-0KJ,color=ENVOY GREY MULTI VARIEGATED STRIPE|sku=JS00T45G-0BE,color=ENVOY GREY RABBIT SYLVIA DOT|sku=T45G-0A1,color=ENVOY MULTI GREY FLORAL FLOURISH|sku=JS00T45G-0E2,color=ENVOY MULTI NAVY MOUNTAIN MEADOW|sku=JS00T45G-9FL,color=ENVOY VIKING RED"
JS00TAN1,"sku=JS00TAN1-0X1,color=FIFHT AVENUE MULTI NAVY CONNECT FOUR|sku=TAN1-9ZG,color=FIFTH AVENUE AQUA DASH|sku=JS00TAN1-008,color=FIFTH AVENUE BLACK|sku=JS00TAN1-06Q,color=FIFTH AVENUE BLACK ZIGGY|sku=JS00TAN1-01F,color=FIFTH AVENUE BLUE CREST|sku=JS00TAN1-01B,color=FIFTH AVENUE CYBER PINK|sku=JS00TAN1-0EG,color=FIFTH AVENUE CYBER PINK BLOCK FLORAL|sku=TAN1-9RX,color=FIFTH AVENUE FLUORESCENT PINK|sku=TAN1-ZE6,color=FIFTH AVENUE GREY TAR WILD AT HEART|sku=TAN1-2D5,color=FIFTH AVENUE LORAC YELLOW|sku=TAN1-09V,color=FIFTH AVENUE MULTI ASTRO KITTY|sku=JS00TAN1-0KL,color=FIFTH AVENUE MULTI CONCRETE FLORAL|sku=TAN1-09Y,color=FIFTH AVENUE MULTI DONUTS|sku=JS00TAN1-0A1,color=FIFTH AVENUE MULTI GREY FLORAL FLOURISH|sku=TAN1-0A1,color=FIFTH AVENUE MULTI GREY FLORAL FLOURISH|sku=JS00TAN1-0WH,color=FIFTH AVENUE MULTI GREY FLORAL HAZE|sku=JS00TAN1-0DQ,color=FIFTH AVENUE MULTI HOT TROPIC|sku=JS00TAN1-0WR,color=FIFTH AVENUE MULTI JUNGLE JAM|sku=JS00TAN1-0MV,color=FIFTH AVENUE MULTI RED GALAXY|sku=JS00TAN1-0UG,color=FIFTH AVENUE MULTI SPECKLED SPACE|sku=JS00TAN1-0KN,color=FIFTH AVENUE MULTI STCKERS|sku=JS00TAN1-0E9,color=FIFTH AVENUE MULTI SUNSET STRIPE|sku=JS00TAN1-0EM,color=FIFTH AVENUE MULTI TROPIC GOLD|sku=JS00TAN1-003,color=FIFTH AVENUE NAVY|sku=JS00TAN1-0N0,color=FIFTH AVENUE RED TAPE LAND AHOY"
T06V,"sku=T06V-008,color=FIRST CLASS 13'' BLACK"
T52M,"sku=T52M-ZY6,color=FOX HOLE BUCKTHORN BROWN YELLOW JACKET|sku=T52M-ZY7,color=FOX HOLE TARO TEAL MOONLIT TEAL"
JS00TDH6,"sku=JS00TDH6-9ZG,color=HALF PINT AQUA DASH|sku=JS00TDH6-0JJ,color=HALF PINT AQUA DASH JAGGED PLAID|sku=JS00TDH6-008,color=HALF PINT BLACK|sku=JS00TDH6-8WG,color=HALF PINT CORAL SPARKLE|sku=TDH6-9RX,color=HALF PINT FLUORESCENT PINK|sku=JS00TDH6-0XJ,color=HALF PINT MULTI CALI POPPY|sku=JS00TDH6-0KL,color=HALF PINT MULTI CONCRETE FLORAL|sku=TDH6-09Y,color=HALF PINT MULTI DONUTS|sku=JS00TDH6-0UE,color=HALF PINT MULTI FLOWER EXPLOSION|sku=JS00TDH6-0KN,color=HALF PINT MULTI STICKERS|sku=JS00TDH6-0D6,color=HALF PINT SEAFOAM GREEN|sku=JS00TDH6-01H,color=HALF PINT SPANISH TEAL|sku=JS00TDH6-05B,color=HALF PINT VIOLET PURPLE|sku=TDH6-2C8,color=HALF PINT VIVID PURPLE"
JS00T52S,"sku=JS00T52S-008,color=HATCHET BLACK|sku=JS00T52S-0BL,color=HATCHET BLACK CAMO FADE|sku=T52S-9RV,color=HATCHET BOZEMAN BROWN|sku=JS00T52S-0UY,color=HATCHET FORGE GREY/RED TAPE|sku=JS00T52S-6XJ,color=HATCHET GREY TAR|sku=T52S-6XJ,color=HATCHET GREY TAR|sku=T52S-04Z,color=HATCHET MIDNIGHT SKY|sku=JS00T52S-0WW,color=HATCHET MULTI FISHING LURES|sku=JS00T52S-0WF,color=HATCHET MULTI TURKISH DUTCH FLORAL"
JS00TRS7,"sku=JS00TRS7-0AW,color=HIGH STAKES  MULTI LIGHTENING STRIKE|sku=TRS7-7PA,color=HIGH STAKES /WHITE/MULTI FEATHERS|sku=JS00TRS7-0DN,color=HIGH STAKES AQUA DASH WATER LOTUS|sku=JS00TRS7-0EB,color=HIGH STAKES BLACK FIRST LOVE|sku=JS00T64U-03W,color=HIGH STAKES BLACK LASER LACE|sku=JS00TRS7-0DM,color=HIGH STAKES BLACK MISS ZEBRA FLOCK|sku=JS00TRS7-0AR,color=HIGH STAKES BLACK PLUSH LIPS|sku=JS00TRS7-212,color=HIGH STAKES CARAMEL LEOPARD|sku=JS00T75J-0JB,color=HIGH STAKES CORAL SPARKLE PRETTY POSEY|sku=JS00TRS7-0J1,color=HIGH STAKES JANSPORT NAVY SPLENDID VINE FLOCK|sku=JS00T75J-0J8,color=HIGH STAKES JANSPORT NAVY WATERCOLOR CHEVRON|sku=JS00T75J-0NE,color=HIGH STAKES MAMMOTH BLUE MULTI STICKERS|sku=JS00TRS7-0EN,color=HIGH STAKES MULTI AGATE SKIES|sku=JS00TRS7-0KA,color=HIGH STAKES MULTI COSMIC WATERS|sku=JS00TRS7-0E6,color=HIGH STAKES MULTI GRAFFITI|sku=JS00TRS7-0GM,color=HIGH STAKES MULTI GRUNGE USA|sku=JS00TRS7-ZU5,color=HIGH STAKES MULTI INTERGALACTICA|sku=TRS7-ZU5,color=HIGH STAKES MULTI INTERGALACTICA|sku=JS00TRS7-0BV,color=HIGH STAKES MULTI LAGUNA BEACH|sku=JS00TRS7-0W3,color=HIGH STAKES MULTI LINEAR SKIES|sku=JS00TRS7-0W1,color=HIGH STAKES MULTI SUN FADE OMBRE|sku=JS00TRS7-0LV,color=HIGH STAKES MULTI TROPICAL ISLAND|sku=JS00TRS7-0FU,color=HIGH STAKES MULTI TULIPS|sku=JS00TRS7-0KB,color=HIGH STAKES MULTI WATER OMBRE|sku=JS00TRS7-0J0,color=HIGH STAKES NAVY MOONSHINE STAR SPANGLE|sku=JS00T75J-0N0,color=HIGH STAKES RED TAPE LAND AHOY|sku=JS00T64U-0NY,color=HIGH STAKES SHADY GREY SEAFOAM LASER LACE|sku=JS00TRS7-0HY,color=HIGH STAKES WHITE BLACK HOUNDSTOOTH"
JS0A2SDF,"sku=JS0A2SDF-0UQ,color=HIPPYLAND BLACK/GOLD|sku=JS0A2SDF-0WJ,color=HIPPYLAND CHAMBRAY SWEET BLOSSOM|sku=JS0A2SDF-0LM,color=HIPPYLAND CORAL PEACHES METALLIC COAT|sku=JS0A2SDF-0TR,color=HIPPYLAND GOLD 3D STARS|sku=JS0A2SDF-0FD,color=HIPPYLAND MULTI GARDEN DELIGHT|sku=JS0A2SDF-0FF,color=HIPPYLAND MULTI SURF STRIPE|sku=JS0A2SDF-0U3,color=HIPPYLAND NAVY TWIGGY DOT JACQUARD|sku=JS0A2SDF-0GG,color=HIPPYLAND PEWTER METALLIC COAT|sku=JS0A2SDF-0LP,color=HIPPYLAND SILVER SPARKLE TWILL"
T29G,"sku=T29G-008,color=HOFFMAN BLACK|sku=T29G-9RU,color=HOFFMAN DESERT BEIGE|sku=T29G-2C8,color=HOFFMAN VIVID PURPLE|sku=T29G-ZB3,color=HOFFMAN VIVID PURPLE ACAPULCOS TRIPE"
JS00T13Y,"sku=JS00T13Y-008,color=HOUSTON BLACK|sku=T13Y-008,color=HOUSTON BLACK|sku=JS00T13Y-088,color=HOUSTON BLACK|sku=JS00T13Y-0U2,color=HOUSTON BLACK WHITE SUITED PLAID|sku=T13Y-9RU,color=HOUSTON DESERT BEIGE|sku=JS00T13Y-0LR,color=HOUSTON GREY PIXEL PINSTRIPE|sku=T13Y-9ZE,color=HOUSTON GREY RABBIT|sku=JS00T13Y-0FD,color=HOUSTON MULTI GARDEN DELIGHT|sku=JS00T13Y-0TV,color=HOUSTON NATURAL SPECKLED CANVAS|sku=JS00T13Y-0L1,color=HOUSTON NEUTRAL PERUVIAN MAZE|sku=JS00T13Y-0J5,color=HOUSTON RED TAPE iPLAID|sku=JS00T13Y-0ZJ,color=HOUSTON SILVER TWIGGY DOT JACQUARD|sku=JS00T13Y-0KE,color=HOUSTON TURKISH OCEAN HASHTAG DOODAD"
JS0A2T3F,"sku=JS0A2T3F-008,color=IMPULSE BLACK|sku=JS0A2T3F-0WH,color=IMPULSE MULTI GREY FLORAL HAZE|sku=JS0A2T3F-0WV,color=IMPULSE NAVY COLOR GEO|sku=JS0A2T3F-9RS,color=IMPULSE SHADY GREY"
JS0A2SDJ,"sku=JS0A2SDJ-0WJ,color=INDIO CHAMBRAY SWEET BLOSSOM|sku=JS0A2SDJ-0FX,color=INDIO FROST TEAL"
T45D,"sku=T45D-008,color=INSIDER BLACK|sku=T45D-01V,color=INSIDER FLUORESCENT PINK DOTS|sku=T45D-ZG8,color=INSIDER GREEN MACHINE TOPO CAMO"
JS00T49C,"sku=JS00T49C-0UE,color=LARGE ACCESORY POUCH MULTI FLOWER EXPLOSION|sku=JS00T49C-008,color=LARGE ACCESORY POUCH BLACK|sku=JS00T49C-01B,color=LARGE ACCESORY POUCH CYBER PINK|sku=JS00T49C-0KN,color=LARGE ACCESORY POUCH MULTI STICKERS|sku=JS00T49C-0VQ,color=LARGE ACCESORY POUCH NAVY SWEET BLOSSOMsku=T49B-008,color=MEDIUM ACCESORY POUCH BLACK|sku=T49B-9RX,color=MEDIUM ACCESORY POUCH FLUORECENT PINK|sku=T49B-1U1,color=MEDIUM ACCESORY POUCH MAMMONTH BLUE ZOOT SUIT|sku=T49B-9RW,color=MEDIUM ACCESORY POUCH MAMMOTH BLUE|sku=JS00T49B-0J8,color=MEDIUM ACCESORY POUCH JANSPORT NAVY WATERCOLOR CHEVRON|sku=JS00T49B-01H,color=MEDIUM ACCESORY POUCH SPANISH TEAL|sku=JS00T49B-0E2,color=MEDIUM ACCESORY POUCH MULTI NAVY MOUNTAIN MEADOW|sku=T49B-1W6,color=MEDIUM ACCESORY POUCH PINK PANSY CONFETTI DOTSsku=JS00T54R-008,color=NETWORK BLACK|sku=T54R-008,color=NETWORK BLACK|sku=JS00T54R-0N2,color=NETWORK GREY VANISHING RIP|sku=JS00T54R-0KL,color=NETWORK MULTI CONCRETE FLORAL|sku=T54R-0A1,color=NETWORK MULTI GREY FLORAL FLOURISH|"
JS00T49B,"sku=T49B-008,color=MEDIUM ACCESORY POUCH BLACK|sku=T49B-9RX,color=MEDIUM ACCESORY POUCH FLUORECENT PINK|sku=T49B-1U1,color=MEDIUM ACCESORY POUCH MAMMONTH BLUE ZOOT SUIT|sku=T49B-9RW,color=MEDIUM ACCESORY POUCH MAMMOTH BLUE|sku=JS00T49B-0J8,color=MEDIUM ACCESORY POUCH JANSPORT NAVY WATERCOLOR CHEVRON|sku=JS00T49B-01H,color=MEDIUM ACCESORY POUCH SPANISH TEAL|sku=JS00T49B-0E2,color=MEDIUM ACCESORY POUCH MULTI NAVY MOUNTAIN MEADOW|sku=T49B-1W6,color=MEDIUM ACCESORY POUCH PINK PANSY CONFETTI DOTS"
JS00T54R,"sku=JS00T54R-008,color=NETWORK BLACK|sku=T54R-008,color=NETWORK BLACK|sku=JS00T54R-0N2,color=NETWORK GREY VANISHING RIP|sku=JS00T54R-0KL,color=NETWORK MULTI CONCRETE FLORAL|sku=T54R-0A1,color=NETWORK MULTI GREY FLORAL FLOURISH|sku=JS00T54R-0WH,color=NETWORK MULTI GREY FLORAL HAZE|sku=JS00T54R-9RS,color=NETWORK SHADY GREY|sku=T54R-9RS,color=NETWORK SHADY GREY|sku=JS00T54R-01H,color=NETWORK SPANISH TEAL|sku=T54R-2C8,color=NETWORK VIVID PURPLE"
JS0A2T39,"sku=JS0A2T39-008,color=NODE BLACK|sku=JS0A2T39-0J9,color=NODE HIGH RISK RED CHECKERS|sku=JS0A2T39-0P0,color=NODE NAVY MOOSHINE LIME PUNCH|sku=JS0A2T39-9RS,color=NODE SHADY GREY"
JS00T08W,"sku=JS00T08W-0MS,color=OVEREXPOSED ALGIERS BLUE HIGH RISK RED|sku=JS00T08W-0NT,color=OVEREXPOSED AQUA DASH VIOLETH PURPLE|sku=JS00T08W-1J0,color=OVEREXPOSED BLACK FLUORESCENT PINK|sku=JS00T08W-0MT,color=OVEREXPOSED BLACK WHITE|sku=JS00T08W-0EL,color=OVEREXPOSED CYBER PINK ROCKSTEADY|sku=JS00T08W-0CS,color=OVEREXPOSED FLUORESCENT PINK VIOLET PURPLE|sku=JS00T08W-0CU,color=OVEREXPOSED MAMMOTH BLUE FLUORESCENT RED|sku=JS00T08W-0GJ,color=OVEREXPOSED MAMMOTH BLUE/NAVY MOONSHINE|sku=JS00T08W-0XJ,color=OVEREXPOSED MULTI CALI POPPY|sku=JS00T08W-0FZ,color=OVEREXPOSED MULTI MARBLE PRISM|sku=JS00T08W-0MV,color=OVEREXPOSED MULTI RED GALAXY|sku=JS00T08W-0UG,color=OVEREXPOSED MULTI SPECKLED SPACE|sku=JS00T08W-0D9,color=OVEREXPOSED MULTI WATERCOLOR FLORAL|sku=JS00T08W-0MU,color=OVEREXPOSED PINK PANSY MAMMOTH BLUE|sku=JS00T08W-0CT,color=OVEREXPOSED SHADY GREY FLUORESCENT ORANGE"
JS00T68X,"sku=JS00T68X-0ED,color=PIXEL ACCESORY POUCH CYBER PINK SUMMER CHEVRON|sku=JS00T68X-0DQ,color=PIXEL ACCESORY POUCH MULTI HOT TROPIC|sku=JS00T68X-0DU,color=PIXEL ACCESORY POUCH MULTI PAINTED DITZY"
JS00T55B,"sku=JS00T55B-008,color=PLATFORM BLACK|sku=T55B-008,color=PLATFORM BLACK|sku=JS00T55B-0TC,color=PLATFORM DESERT BEIGE STATIC|sku=JS00T55B-9ZE,color=PLATFORM GREY RABBIT|sku=JS00T55B-0N2,color=PLATFORM GREY VANISHING RIP|sku=JS00T55B-003,color=PLATFORM NAVY"
T38U,"sku=T38U-1Z2,color=REGIONAL COLLECTION  LONE START|sku=T38U-1Z3,color=REGIONAL COLLECTION BRAZIL"
